run_id,strategy,use_trigger,seed,split,iteration,n_labels,accuracy,balanced_accuracy,macro_f1,max_uncertainty
temporal-random-s42,random,False,42,temporal,145,1470,0.55812,0.5169386940425456,0.4968338611180382,
temporal-random-s42,random,False,42,temporal,146,1480,0.5568,0.5158057403315632,0.49589059843245636,
temporal-random-s42,random,False,42,temporal,147,1490,0.56,0.5156742708530069,0.4904541721671676,
temporal-random-s42,random,False,42,temporal,148,1500,0.5628,0.5168433106917316,0.48886820992140906,
temporal-random-s42,random,False,42,temporal,149,1510,0.56028,0.5161294343716517,0.4912478892618639,
temporal-random-s42,random,False,42,temporal,150,1520,0.56088,0.5167873878410225,0.492063265038875,
temporal-random-s42,random,False,42,temporal,151,1530,0.56108,0.5167737101666399,0.4916874767827919,
temporal-random-s42,random,False,42,temporal,152,1540,0.56168,0.5166952314385359,0.49043450611532163,
temporal-random-s42,random,False,42,temporal,153,1550,0.55868,0.515777025405584,0.49291840630552597,
temporal-random-s42,random,False,42,temporal,154,1560,0.55956,0.5157667712449091,0.491451807849704,
temporal-random-s42,random,False,42,temporal,155,1570,0.55976,0.5164645619646973,0.49303076215265973,
temporal-random-s42,random,False,42,temporal,156,1580,0.55692,0.5155603775955434,0.49508163750003487,
temporal-random-s42,random,False,42,temporal,157,1590,0.55792,0.5151924235839799,0.49256498055284215,
temporal-random-s42,random,False,42,temporal,158,1600,0.557,0.5146062820002296,0.4924593203281018,
temporal-random-s42,random,False,42,temporal,159,1610,0.5564,0.5154211929258086,0.49549944012356617,
temporal-random-s42,random,False,42,temporal,160,1620,0.55492,0.5147859755187647,0.4960442394079274,
temporal-random-s42,random,False,42,temporal,161,1630,0.555,0.5145807940225778,0.49541425123849925,
temporal-random-s42,random,False,42,temporal,162,1640,0.55604,0.5157204145760437,0.4967816139694505,
temporal-random-s42,random,False,42,temporal,163,1650,0.55776,0.5157900151011353,0.4944002634094141,
temporal-random-s42,random,False,42,temporal,164,1660,0.55548,0.5139113906198017,0.4929870163012873,
temporal-random-s42,random,False,42,temporal,165,1670,0.55632,0.5148275327162599,0.4940908940710328,
temporal-random-s42,random,False,42,temporal,166,1680,0.55772,0.515056318438537,0.49251926396782186,
temporal-random-s42,random,False,42,temporal,167,1690,0.55604,0.5143224415910068,0.49320300342868006,
temporal-random-s42,random,False,42,temporal,168,1700,0.55436,0.5126773859228719,0.49148131377362236,
temporal-random-s42,random,False,42,temporal,169,1710,0.55508,0.5149497800023882,0.49622540441577934,
temporal-random-s42,random,False,42,temporal,170,1720,0.55388,0.512897440866172,0.49277770665235393,
temporal-random-s42,random,False,42,temporal,171,1730,0.55352,0.5133963729428409,0.4945685417185426,
temporal-random-s42,random,False,42,temporal,172,1740,0.55576,0.5149906492210523,0.4953446842155486,
temporal-random-s42,random,False,42,temporal,173,1750,0.55528,0.5142870434420957,0.49425764905146863,
temporal-random-s42,random,False,42,temporal,174,1760,0.55492,0.5140994709278983,0.4943109182985596,
temporal-random-s42,random,False,42,temporal,175,1770,0.55548,0.5145230038007554,0.4945649325095052,
temporal-random-s42,random,False,42,temporal,176,1780,0.5568,0.5152939823638265,0.4945735223789415,
temporal-random-s42,random,False,42,temporal,177,1790,0.5566,0.5137474223316946,0.49079791770607517,
temporal-random-s42,random,False,42,temporal,178,1800,0.55616,0.5155998708565451,0.49630497390885187,
temporal-random-s42,random,False,42,temporal,179,1810,0.55544,0.513240103465464,0.49128596383035694,
temporal-random-s42,random,False,42,temporal,180,1820,0.5568,0.514270466428353,0.49188101436779985,
temporal-random-s42,random,False,42,temporal,181,1830,0.55756,0.5142559369706555,0.4906164288362249,
temporal-random-s42,random,False,42,temporal,182,1840,0.55776,0.5158274608060917,0.4944984311016285,
temporal-random-s42,random,False,42,temporal,183,1850,0.55836,0.5154369345366847,0.49251712105482165,
temporal-random-s42,random,False,42,temporal,184,1860,0.55652,0.5134408458601447,0.49009858653856475,
temporal-random-s42,random,False,42,temporal,185,1870,0.55656,0.5128140152426625,0.48831619935710435,
temporal-random-s42,random,False,42,temporal,186,1880,0.56076,0.516471065002697,0.491386512714547,
temporal-random-s42,random,False,42,temporal,187,1890,0.5568,0.5137587084606162,0.4905050708945088,
temporal-random-s42,random,False,42,temporal,188,1900,0.5596,0.5146406645613423,0.4882298480104563,
temporal-random-s42,random,False,42,temporal,189,1910,0.56208,0.5165680208765538,0.4893653324889149,
temporal-random-s42,random,False,42,temporal,190,1920,0.56224,0.5169689814915676,0.4902324209258816,
temporal-random-s42,random,False,42,temporal,191,1930,0.55988,0.515632549851028,0.49054172728470025,
temporal-random-s42,random,False,42,temporal,192,1940,0.56064,0.5149689615074206,0.48732490549247237,
temporal-random-s42,random,False,42,temporal,193,1950,0.5604,0.5152350127497219,0.4885190119838199,
temporal-random-s42,random,False,42,temporal,194,1960,0.562,0.5174097793569986,0.49189840498306403,
temporal-random-s42,random,False,42,temporal,195,1970,0.5584,0.5150222962472885,0.49132854875983356,
temporal-random-s42,random,False,42,temporal,196,1980,0.56076,0.5160217165432208,0.49012565957824783,
temporal-random-s42,random,False,42,temporal,197,1990,0.5578,0.5137776934002682,0.4889004801605924,
temporal-random-s42,random,False,42,temporal,198,2000,0.56356,0.5173779849067273,0.4890464512099883,
temporal-random-s43,random,False,43,temporal,0,20,0.42384,0.49853688197182594,0.3045506044631389,
temporal-random-s43,random,False,43,temporal,1,30,0.45412,0.4916106223276322,0.43766126382882925,
temporal-random-s43,random,False,43,temporal,2,40,0.44236,0.4884331429543023,0.41181602099277015,
temporal-random-s43,random,False,43,temporal,3,50,0.44,0.4867971456741119,0.4078879302244851,
temporal-random-s43,random,False,43,temporal,4,60,0.43988,0.486318558114309,0.40842203728669046,
temporal-random-s43,random,False,43,temporal,5,70,0.43272,0.48466133177304105,0.38918893600595794,
temporal-random-s43,random,False,43,temporal,6,80,0.4766,0.4930064986152788,0.4760458921236337,
temporal-random-s43,random,False,43,temporal,7,90,0.49396,0.5012930398328277,0.49355496633018425,
temporal-random-s43,random,False,43,temporal,8,100,0.49964,0.494663643054305,0.4937304975448305,
temporal-random-s43,random,False,43,temporal,9,110,0.49876,0.49729509656192405,0.49507751956257295,
temporal-random-s43,random,False,43,temporal,10,120,0.46396,0.4874302663837654,0.46053152767032224,
temporal-random-s43,random,False,43,temporal,11,130,0.47052,0.4866695911227143,0.4699840266471066,
temporal-random-s43,random,False,43,temporal,12,140,0.45936,0.48039301282146835,0.45708025828776067,
temporal-random-s43,random,False,43,temporal,13,150,0.4768,0.47553064052958643,0.47336176857680123,
temporal-random-s43,random,False,43,temporal,14,160,0.4772,0.4769387038708146,0.4742900059272092,
temporal-random-s43,random,False,43,temporal,15,170,0.49424,0.4825260748072144,0.4825348556401573,
temporal-random-s43,random,False,43,temporal,16,180,0.5416,0.502016744421925,0.4831683947194465,
temporal-random-s43,random,False,43,temporal,17,190,0.53676,0.499314642040519,0.4832475790253936,
temporal-random-s43,random,False,43,temporal,18,200,0.53936,0.5050657355583006,0.49313157188191853,
temporal-random-s43,random,False,43,temporal,19,210,0.54104,0.5051255897166166,0.49131966670207655,
temporal-random-s43,random,False,43,temporal,20,220,0.53948,0.5057939611511458,0.4945586279513028,
